User_ID,user_diet,preferred_cuisines,monthly_budget_inr,purchase_date,Product_ID,Product_Name,Brand,Category,Subcategory,unit,unit_price_inr,quantity_purchased,discount_applied,total_spent_inr,storage_type,expiration_date,days_to_expiry,quantity_on_hand,reorder_level,reorder_quantity,payment_method,store_type,calories,protein_g,fat_g,carbs_g,fiber_g,sugar_g,sodium_mg,product_diet_tags,recipe_id,recipe_name,recipe_cuisine,recipe_cook_time_min,ingredient_product_ids,ingredient_qtys,recipe_instructions,user_monthly_spend_inr,category_spend_share
U0096,"egg-free,vegetarian",Thai,6459,2024-03-02,P00343,Mutton Family,Everest,meat_seafood,mutton,pcs,545.24,17.0,0.11,8249.48,ambient,2024-03-07,5,17,7,4,NetBanking,offline,217.5,23.84,9.67,0.0,2.0,0.0,45.0,"gluten-free,keto,lactose-free,nut-free",R0073,Noodles Homestyle,Maharashtrian,20,P00001;P00116;P00402;P00487;P00031;P00454;P00422,476 g;61 g;2 pcs;73 mL;1.37 kg;394 mL;0.11 L,Mix ingredients; cook as per recipe; adjust seasoning; serve hot.,9301.67,0.9292
U0083,"egg-free,vegetarian",Indian,4928,2025-01-07,P00208,Cheese Premium,Britannia,dairy,cheese,mL,250.4,1606.0,0.0,250.4,ambient,2025-01-15,8,401,2,5,Wallet,online,95.0,2.82,5.29,2.05,0.0,3.83,49.8,"egg-free,gluten-free,jain-friendly,keto,lactose-free,nut-free,vegetarian",R0093,Salad Special,Maharashtrian,72,P00127;P00723;P00595;P00140;P00441;P00695,146 g;343 g;3 pcs;1.41 kg;54 mL;1.39 kg,Mix ingredients; cook as per recipe; adjust seasoning; serve hot.,562.1,0.4455
U0083,"egg-free,vegetarian",Indian,4928,2025-08-12,P00506,Condiment Fresh,Everest,spices_masala,condiment,g,630.57,423.0,0.13,548.6,chilled,2026-04-22,253,105,2,2,UPI,online,197.4,10.18,8.87,39.97,20.5,1.43,71.3,"egg-free,gluten-free,jain-friendly,keto,lactose-free,nut-free,vegan,vegetarian",R0090,Stir-Fry Delight,Indian,18,P00220;P00715;P00473;P00302;P00230;P00280,251 mL;437 g;475 mL;0.24 kg;327 g;446 g,Mix ingredients; cook as per recipe; adjust seasoning; serve hot.,548.6,1.0
U0079,vegetarian,Rajasthani,9773,2025-03-05,P00101,Root Classic,Kissan,vegetables,root,pcs,26.7,10.0,0.04,256.32,frozen,2025-03-11,6,10,1,1,NetBanking,offline,42.6,4.86,0.05,7.59,5.7,5.38,9.6,"egg-free,gluten-free,jain-friendly,keto,lactose-free,nut-free,vegan,vegetarian",R0016,Chaat Special,Rajasthani,88,P00665;P00275;P00556;P00122;P00538,162 g;338 g;448 g;0.82 kg;144 g,Mix ingredients; cook as per recipe; adjust seasoning; serve hot.,276.88,1.0
U0120,keto,Indo-Chinese,4374,2024-02-21,P00108,Millets Premium,MTR,grains,millets,g,63.84,684.0,0.0,63.84,frozen,2025-01-25,339,342,5,4,Credit Card,online,242.3,16.82,5.29,62.97,4.31,1.71,0.6,"egg-free,gluten-free,jain-friendly,lactose-free,nut-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,1950.95,0.0327
U0035,jain-friendly,Italian,13654,2024-01-22,P00406,Pasta Daily,Dabur,packaged_food,pasta,g,127.43,859.0,0.0,127.43,frozen,2024-12-30,343,286,7,1,UPI,online,676.5,6.64,15.39,75.23,3.48,27.51,532.9,"egg-free,jain-friendly,lactose-free,nut-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,705.4,0.1806
U0006,vegetarian,Rajasthani,13303,2024-09-25,P00210,Butter Ghee Daily,Everest,dairy,butter_ghee,g,329.51,515.0,0.21,260.31,chilled,2024-10-08,13,103,4,5,NetBanking,offline,70.2,3.8,5.29,18.92,0.0,7.1,4.5,"egg-free,gluten-free,jain-friendly,keto,lactose-free,nut-free,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,422.72,0.6158
U0026,gluten-free,Punjabi,10726,2024-06-08,P00254,Butter Ghee Daily,Aashirvaad,dairy,butter_ghee,g,287.57,317.0,0.0,287.57,frozen,2024-06-18,10,63,1,5,Credit Card,online,113.5,3.05,5.61,7.13,0.0,3.7,31.1,"egg-free,gluten-free,jain-friendly,keto,lactose-free,nut-free,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,3982.78,0.1468
U0117,"egg-free,vegetarian","Gujarati,Thai",3447,2024-03-29,P00651,Sauces Family,Del Monte,condiments,sauces,mL,340.82,594.0,0.02,334.0,frozen,2025-04-10,377,118,4,3,Debit Card,online,18.1,1.21,2.2,17.73,3.62,17.49,825.6,"egg-free,gluten-free,jain-friendly,keto,lactose-free,nut-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,645.13,0.5177
U0088,nut-free,Hyderabadi,6748,2025-06-05,P00093,Allium Select,Nandini,vegetables,allium,pcs,139.32,2.0,0.0,278.64,chilled,2025-06-13,8,2,6,2,Debit Card,offline,46.2,3.18,0.08,16.04,1.56,4.5,5.3,"egg-free,gluten-free,jain-friendly,keto,lactose-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,407.8,0.6833
U0052,jain-friendly,"Mexican,Bengali,Indian",5335,2024-10-13,P00731,Frozen Meat Daily,Parle,frozen,frozen_meat,g,465.87,148.0,0.03,451.89,frozen,2026-01-20,464,49,8,2,NetBanking,offline,251.7,3.97,7.18,17.03,4.17,6.39,469.1,"egg-free,gluten-free,jain-friendly,keto,lactose-free,nut-free,vegan,vegetarian",R0253,Cutlets Chef's Pick,Bengali,23,P00109;P00291;P00580,213 g;1.14 kg;238 g,Mix ingredients; cook as per recipe; adjust seasoning; serve hot.,451.89,1.0
U0056,gluten-free,"South Indian,Mediterranean,Italian",3525,2024-03-18,P00142,Corn Daily,Nestle,grains,corn,kg,108.6,2.22,0.16,91.22,ambient,2025-04-09,387,1110,1,1,NetBanking,online,302.7,11.62,8.47,57.3,7.84,2.76,10.7,"egg-free,gluten-free,jain-friendly,lactose-free,nut-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,607.82,0.1501
U0081,jain-friendly,"Punjabi,Rajasthani",14283,2024-05-28,P00658,Vinegar Fresh,Maggi,condiments,vinegar,mL,322.62,644.0,0.01,319.39,ambient,2025-01-04,221,128,2,2,NetBanking,offline,99.5,0.58,1.79,4.95,2.16,7.19,685.6,"egg-free,gluten-free,jain-friendly,keto,lactose-free,nut-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,2284.88,0.1398
U0091,gluten-free,"Rajasthani,Indian",8222,2024-10-04,P00456,Sunflower Oil Daily,MDH,oils_ghee,sunflower_oil,mL,1164.17,656.0,0.09,1059.39,frozen,2025-03-23,170,131,6,2,Cash,offline,881.7,0.0,100.58,0.0,0.0,0.0,0.0,"egg-free,gluten-free,jain-friendly,keto,lactose-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,1902.5,0.5568
U0013,nut-free,Maharashtrian,11829,2025-02-23,P00463,Sunflower Oil Premium,Tata,oils_ghee,sunflower_oil,mL,647.45,1994.0,0.0,647.45,ambient,2026-05-15,446,664,5,2,Credit Card,online,904.3,0.0,97.09,0.0,0.0,3.895,0.0,"egg-free,gluten-free,jain-friendly,keto,lactose-free,nut-free,vegan,vegetarian",R0269,Noodles Express,South Indian,50,P00688;P00601;P00725;P00376,4 pcs;1.4 kg;258 g;50 g,Mix ingredients; cook as per recipe; adjust seasoning; serve hot.,5125.99,0.3013
U0033,egg-free,"Mediterranean,Indo-Chinese",4105,2025-03-23,P00484,Groundnut Oil Premium,MTR,oils_ghee,groundnut_oil,L,472.22,3.58,0.14,406.11,chilled,2026-02-15,329,895,3,2,Credit Card,offline,888.0,0.0,100.62,0.0,0.0,0.0,0.0,"egg-free,gluten-free,jain-friendly,keto,lactose-free,nut-free,vegan,vegetarian",R0187,Pulao Homestyle,Goan,10,P00235;P00056;P00545,301 mL;167 g;1.41 kg,Mix ingredients; cook as per recipe; adjust seasoning; serve hot.,777.57,0.5223
U0053,"gluten-free,vegetarian","Punjabi,Indian",7366,2025-03-22,P00294,Cakes Family,Amul,bakery,cakes,pcs,37.3,6.0,0.01,221.56,frozen,2025-03-31,9,6,7,2,Wallet,online,407.9,8.08,22.3,58.59,5.16,16.06,658.6,"egg-free,jain-friendly,lactose-free,nut-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,8908.68,0.0249
U0017,"gluten-free,vegetarian","Goan,Rajasthani",9158,2024-11-05,P00374,Breakfast Cereal Family,Del Monte,packaged_food,breakfast_cereal,pcs,304.92,1.0,0.0,304.92,ambient,2025-01-27,83,1,4,5,Credit Card,online,378.7,7.82,16.39,66.58,3.68,12.94,234.1,"egg-free,jain-friendly,lactose-free,nut-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,468.85,0.6504
U0080,gluten-free,"Punjabi,North Indian,Hyderabadi",11037,2025-07-30,P00513,Paste Fresh,Nestle,spices_masala,paste,g,295.53,1157.0,0.04,283.71,frozen,2026-02-21,206,289,2,3,Wallet,online,347.8,9.66,10.23,39.45,15.7,1.68,33.7,"egg-free,gluten-free,jain-friendly,keto,lactose-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,3185.19,0.0891
U0087,nut-free,North Indian,4166,2025-05-31,P00586,Savories Fresh,ITC,snacks,savories,pcs,225.81,5.0,0.0,1129.05,chilled,2025-09-14,106,5,8,2,UPI,online,284.9,9.59,21.05,34.93,1.13,24.3,464.0,"egg-free,jain-friendly,lactose-free,nut-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,1358.3,0.8312
U0090,"egg-free,vegetarian","Italian,Punjabi,North Indian",12987,2024-03-02,P00091,Cruciferous Premium,Nandini,vegetables,cruciferous,kg,152.11,0.6,0.12,133.86,frozen,2024-03-08,6,150,7,4,UPI,offline,16.4,1.32,0.19,13.3,3.5,2.58,27.5,"egg-free,gluten-free,jain-friendly,keto,lactose-free,nut-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,228.82,0.585
U0033,egg-free,"Mediterranean,Indo-Chinese",4105,2024-05-28,P00515,Condiment Family,Parle,spices_masala,condiment,kg,73.5,4.6,0.02,72.03,chilled,2025-06-08,376,1533,7,3,Debit Card,offline,411.4,11.07,16.98,45.54,34.52,0.12,49.7,"egg-free,gluten-free,jain-friendly,keto,lactose-free,nut-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,1270.91,0.0567
U0065,gluten-free,Maharashtrian,7930,2024-08-16,P00541,Condiment Premium,Borges,spices_masala,condiment,kg,599.34,3.58,0.08,551.39,ambient,2025-11-04,445,716,9,1,Credit Card,online,276.3,9.29,13.16,48.11,26.19,0.36,10.0,"egg-free,gluten-free,jain-friendly,keto,lactose-free,nut-free,vegan,vegetarian",R0104,Grill Chef's Pick,Italian,17,P00153;P00466;P00158;P00464;P00180;P00649,1.43 kg;461 mL;69 g;1.45 L;1.38 kg;333 mL,Mix ingredients; cook as per recipe; adjust seasoning; serve hot.,1822.65,0.3025
U0076,nut-free,"Thai,Italian",8708,2024-06-24,P00193,Chickpeas Classic,Amul,legumes_pulses,chickpeas,g,128.42,945.0,0.0,128.42,chilled,2025-07-21,392,189,4,1,Credit Card,online,342.2,12.67,2.66,60.52,5.75,0.97,0.6,"egg-free,gluten-free,jain-friendly,keto,lactose-free,nut-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,996.34,0.1289
U0025,vegetarian,"Indo-Chinese,North Indian,Bengali",12378,2024-06-05,P00709,Frozen Snacks Fresh,Parle,frozen,frozen_snacks,pcs,532.66,2.0,0.02,1044.01,ambient,2025-09-11,463,2,2,5,Wallet,online,257.2,8.2,11.37,15.37,0.52,6.55,444.8,"egg-free,gluten-free,jain-friendly,keto,lactose-free,nut-free,vegan,vegetarian",R0187,Pulao Homestyle,Goan,10,P00235;P00056;P00545,301 mL;167 g;1.41 kg,Mix ingredients; cook as per recipe; adjust seasoning; serve hot.,3231.57,0.3231
U0028,"egg-free,vegetarian",Indo-Chinese,12873,2025-06-13,P00522,Paste Premium,Borges,spices_masala,paste,g,430.05,722.0,0.03,417.15,chilled,2026-02-12,244,361,4,2,Debit Card,online,169.0,14.59,8.36,54.9,20.6,0.92,63.8,"egg-free,gluten-free,jain-friendly,keto,lactose-free,nut-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,1511.31,0.276
U0081,jain-friendly,"Punjabi,Rajasthani",14283,2024-03-30,P00666,Purees Classic,Haldiram,baby_food,purees,g,642.4,1968.0,0.0,642.4,frozen,2025-07-29,486,984,1,2,UPI,offline,124.6,2.58,4.22,18.05,1.77,5.56,32.9,"egg-free,gluten-free,jain-friendly,keto,lactose-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,642.4,1.0
U0060,lactose-free,"Thai,Goan,Hyderabadi",11196,2024-06-16,P00636,Ketchup Family,Britannia,condiments,ketchup,mL,237.56,1228.0,0.2,190.05,frozen,2025-09-29,470,409,1,2,Debit Card,online,186.0,3.08,5.29,11.71,3.7,11.58,1321.3,"egg-free,gluten-free,jain-friendly,keto,lactose-free,nut-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,978.12,0.1943
U0112,lactose-free,"South Indian,North Indian,Gujarati",12368,2024-10-27,P00325,Prawns Fresh,MDH,meat_seafood,prawns,pcs,388.45,11.0,0.05,4059.3,chilled,2024-11-09,13,11,7,3,Cash,online,200.7,24.77,7.09,0.0,0.0,0.0,88.8,"gluten-free,keto,lactose-free",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,4059.3,1.0
U0111,none,"Indian,Indo-Chinese,Bengali",6325,2024-11-06,P00184,Kidney Beans Fresh,Patanjali,legumes_pulses,kidney_beans,kg,175.67,1.24,0.01,173.91,ambient,2026-01-29,449,310,6,5,Debit Card,offline,332.6,4.03,4.44,73.84,8.28,3.13,4.7,"egg-free,gluten-free,jain-friendly,keto,lactose-free,nut-free,vegan,vegetarian",R0027,Noodles Chef's Pick,Mediterranean,37,P00647;P00726;P00377;P00123;P00378;P00225;P00193,316 mL;137 g;3 pcs;331 g;3 pcs;396 g;111 g,Mix ingredients; cook as per recipe; adjust seasoning; serve hot.,234.05,0.743
U0073,"gluten-free,vegetarian","Rajasthani,Mexican",8555,2024-12-28,P00597,Namkeen Classic,Aashirvaad,snacks,namkeen,g,221.7,281.0,0.0,221.7,frozen,2025-09-29,275,56,1,4,Credit Card,online,479.5,9.86,18.55,47.79,2.08,21.1,295.7,"egg-free,jain-friendly,lactose-free,nut-free,vegan,vegetarian",R0128,Wrap Special,Indo-Chinese,69,P00105;P00623;P00442;P00101;P00047;P00310,123 g;443 mL;131 mL;3 pcs;3 pcs;148 g,Mix ingredients; cook as per recipe; adjust seasoning; serve hot.,3788.81,0.0585
U0035,jain-friendly,Italian,13654,2024-10-05,P00411,Soft Drinks Classic,Nandini,beverages,soft_drinks,L,45.52,4.09,0.0,45.52,frozen,2025-10-10,370,1363,5,1,Cash,offline,34.1,0.65,0.15,6.11,1.38,8.44,0.0,"egg-free,gluten-free,jain-friendly,keto,lactose-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,1731.44,0.0263
U0035,jain-friendly,Not Specified,13654,2024-07-12,P00636,Ketchup Family,Britannia,condiments,ketchup,mL,222.65,951.0,0.0,222.65,ambient,2024-11-02,113,317,4,4,Credit Card,online,186.0,3.08,2.14,11.71,3.7,11.58,1321.3,"egg-free,gluten-free,jain-friendly,keto,lactose-free,nut-free,vegan,vegetarian",R0290,Pulao Fusion,North Indian,34,P00713;P00066;P00227,498 g;183 g;158 g,Mix ingredients; cook as per recipe; adjust seasoning; serve hot.,1081.06,0.206
U0103,lactose-free,"North Indian,Indo-Chinese",12658,2024-12-02,P00283,Flatbreads Select,Del Monte,bakery,flatbreads,pcs,151.03,16.0,0.0,2416.48,chilled,2024-12-08,6,16,1,3,Cash,online,246.1,3.83,19.91,57.93,3.15,24.31,262.5,"egg-free,jain-friendly,lactose-free,nut-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,2416.48,1.0
U0036,"egg-free,vegetarian","Gujarati,Italian,Goan",3765,2025-04-10,P00695,Purees Premium,Fortune,baby_food,purees,kg,696.96,2.0,0.0,696.96,ambient,2026-06-21,437,500,3,3,UPI,offline,210.1,3.49,3.8,14.47,2.25,13.52,20.4,"egg-free,gluten-free,jain-friendly,keto,lactose-free,nut-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,1850.77,0.3766
U0118,vegan,Indo-Chinese,4677,2024-10-15,P00295,Bread Daily,Borges,bakery,bread,kg,169.2,2.77,0.03,164.12,chilled,2024-10-23,8,1385,5,4,Debit Card,offline,462.6,5.32,24.66,46.76,2.0,29.09,673.7,"egg-free,jain-friendly,lactose-free,nut-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,673.29,0.2438
U0107,gluten-free,"Gujarati,North Indian,Maharashtrian",12364,2024-03-22,P00404,Canned Select,MotherDairy,packaged_food,canned,kg,139.07,4.87,0.0,139.07,chilled,2024-08-14,145,2435,2,2,Cash,offline,210.1,3.56,6.77,41.23,2.0,23.84,387.9,"egg-free,jain-friendly,lactose-free,nut-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,359.34,0.387
U0048,vegan,"Mediterranean,Italian,Gujarati",13717,2025-06-29,P00701,Formula Fresh,Fortune,baby_food,formula,kg,613.13,0.8,0.05,582.47,frozen,2026-04-11,286,200,4,1,NetBanking,online,109.1,0.78,5.29,14.26,3.36,4.29,24.3,"egg-free,gluten-free,jain-friendly,keto,lactose-free,nut-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,635.0,0.9173
U0083,"egg-free,vegetarian",Indian,4928,2024-10-03,P00370,Ready Meals Family,Borges,packaged_food,ready_meals,g,60.25,390.0,0.0,60.25,chilled,2025-09-29,361,78,1,4,Debit Card,online,452.5,10.35,24.89,46.91,3.48,9.22,462.4,"egg-free,jain-friendly,lactose-free,nut-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,1125.35,0.0535
U0012,keto,South Indian,14707,2024-06-08,P00001,Tropical Family,MTR,fruits,tropical,g,36.69,227.0,0.0,36.69,frozen,2024-06-11,3,45,5,2,NetBanking,online,48.4,1.23,0.32,8.62,1.14,5.4,7.5,"egg-free,gluten-free,jain-friendly,keto,lactose-free,nut-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,409.14,0.0897
U0002,lactose-free,Rajasthani,12287,2025-06-27,P00623,Sauces Premium,Maggi,condiments,sauces,mL,204.49,514.0,0.18,167.68,ambient,2026-01-16,203,102,2,2,Debit Card,online,78.4,1.16,2.49,34.26,0.35,11.45,660.8,"egg-free,gluten-free,jain-friendly,keto,lactose-free,nut-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,7284.92,0.023
U0117,"egg-free,vegetarian","Gujarati,Thai",3447,2024-03-31,P00237,Butter Ghee Classic,Del Monte,dairy,butter_ghee,mL,194.88,187.0,0.2,155.9,ambient,2024-04-05,5,46,5,2,UPI,offline,102.0,4.67,1.56,3.34,0.0,5.32,47.0,"egg-free,gluten-free,jain-friendly,keto,lactose-free,nut-free,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,645.13,0.2417
U0100,vegan,"South Indian,Hyderabadi,Indo-Chinese",4677,2024-09-17,P00336,Chicken Premium,ITC,meat_seafood,chicken,pcs,529.48,1.0,0.3,370.64,ambient,2024-09-28,11,1,1,5,Wallet,offline,278.8,12.84,11.91,0.0,0.0,0.0,30.2,"gluten-free,keto,lactose-free,nut-free",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,467.62,0.7926
U0058,"egg-free,vegetarian",North Indian,4851,2024-06-21,P00256,Cakes Classic,ITC,bakery,cakes,g,54.13,815.0,0.0,54.13,ambient,2024-06-29,8,271,7,5,Debit Card,online,495.5,13.83,18.37,48.52,0.63,20.42,147.1,"egg-free,jain-friendly,lactose-free,nut-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,586.24,0.0923
U0065,gluten-free,Maharashtrian,7930,2025-04-15,P00724,Frozen Meals Classic,Everest,frozen,frozen_meals,kg,232.57,1.16,0.04,223.27,frozen,2025-06-14,60,386,8,5,Cash,online,254.6,4.03,25.99,10.68,3.75,0.07,313.4,"egg-free,gluten-free,jain-friendly,keto,lactose-free,nut-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,1282.75,0.1741
U0107,gluten-free,"Gujarati,North Indian,Maharashtrian",12364,2024-04-10,P00352,Egg Family,Fortune,meat_seafood,egg,g,777.95,488.0,0.0,777.95,frozen,2024-04-23,13,162,3,5,Wallet,online,210.1,16.08,5.29,0.0,0.0,0.0,59.8,"gluten-free,keto,lactose-free,nut-free",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,2754.68,0.2824
U0118,vegan,Indo-Chinese,4677,2025-05-09,P00477,Sunflower Oil Fresh,Fortune,oils_ghee,sunflower_oil,L,1056.48,4.09,0.0,1056.48,chilled,2025-12-22,227,818,9,3,Debit Card,online,909.7,4.03,98.95,0.0,2.0,0.0,0.0,"egg-free,gluten-free,jain-friendly,keto,lactose-free,nut-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,1056.48,1.0
